,,Open,High,Low,Close,,,https://www.exness.com/intl/th/history_quotes/,,,,,GMT
2016.02.24,0:00,1.10229,1.10457,1.09566,1.10137,0,,,,,,,
2016.02.25,0:00,1.10144,1.10492,1.0986,1.10227,0,,,,,,,
2016.02.26,0:00,1.10222,1.10678,1.09113,1.09257,0,,,,,,,
2016.02.28,0:00,1.09234,1.09282,1.09098,1.0924,0,,,,,,,
2016.02.29,0:00,1.09244,1.09621,1.08587,1.08849,0,,,,,,,
2016.03.01,0:00,1.08845,1.08931,1.08336,1.08758,0,,,,,,,
2016.03.02,0:00,1.08764,1.08806,1.08251,1.08687,0,,,,,,,
2016.03.03,0:00,1.08678,1.09722,1.0853,1.09451,0,,,,,,,
2016.03.04,0:00,1.09438,1.10427,1.09029,1.10057,0,,,,,,,
2016.03.06,0:00,1.09979,1.09979,1.09825,1.09909,0,,,,,,,
2016.03.07,0:00,1.09916,1.10254,1.09395,1.1012,0,,,,,,,
2016.03.08,0:00,1.10125,1.10573,1.09931,1.09999,0,,,,,,,
2016.03.09,0:00,1.09993,1.10345,1.09455,1.09853,0,,,,,,,
2016.03.10,0:00,1.09856,1.12172,1.08214,1.11762,0,,,,,,,
2016.03.11,0:00,1.11766,1.12091,1.10797,1.11462,0,,,,,,,
2016.03.13,0:00,1.11385,1.11758,1.11355,1.11648,0,,,,,,,
2016.03.14,0:00,1.11635,1.11662,1.10774,1.10995,0,,,,,,,
2016.03.15,0:00,1.10999,1.11244,1.10711,1.11067,0,,,,,,,
2016.03.16,0:00,1.11066,1.12417,1.10573,1.12157,0,,,,,,,
2016.03.17,0:00,1.12148,1.1342,1.12045,1.13148,0,,,,,,,
2016.03.18,0:00,1.13147,1.13362,1.12556,1.12693,0,,,,,,,
2016.03.20,0:00,1.12679,1.1281,1.12647,1.12745,0,,,,,,,
2016.03.21,0:00,1.1274,1.12848,1.12329,1.1235,0,,,,,,,
2016.03.22,0:00,1.12342,1.12597,1.11884,1.12207,0,,,,,,,
2016.03.23,0:00,1.122,1.122,1.11589,1.11774,0,,,,,,,
2016.03.24,0:00,1.11773,1.11872,1.11435,1.1164,0,,,,,,,
